,dates,prices,volume_p,volume_i,volume_f
2723,151221,1981.19,-1420,2255,-1208
2724,151222,1992.56,-2716,2166,-72
2725,151223,1999.22,-4810,4404,-61
2726,151224,1990.65,-3624,3509,-71
2727,151228,1964.06,-1952,1497,-323
2728,151229,1966.31,2643,-2774,-933
2729,151230,1961.31,2297,-2822,-365
2730,160104,1918.76,4157,-3471,-1567
2731,160105,1930.53,167,1000,-1894
2732,160106,1925.43,1029,-692,1642
2733,160107,1904.33,1844,79,-2680
2734,160108,1917.62,-472,1232,-1500
2735,160111,1894.84,2569,861,-1130
2736,160112,1890.86,1441,-15,-2213
2737,160113,1916.28,-1885,2206,-503
2738,160114,1900.01,2957,436,-3730
2739,160115,1878.87,2517,-680,-2168
2740,160118,1878.45,121,3186,-3463
2741,160119,1889.64,879,1772,-2792
2742,160120,1845.45,3004,-842,-2278
2743,160121,1840.53,-271,3156,-2975
2744,160122,1879.43,-2013,3461,-1577
2745,160125,1893.43,-1860,2576,-826
2746,160126,1871.69,3172,-1364,-1914
2747,160127,1897.87,-3036,2683,322
2748,160128,1906.94,-1029,16441,-172
2749,160129,1912.06,-1771,-652,1750
2750,160201,1924.82,-2393,32,1826
2751,160202,1906.6,277,-543,-321
2752,160203,1890.67,1242,-12,-1912
2753,160204,1916.26,-3599,1703,1480
2754,160205,1917.79,-1527,5659,-14
2755,160211,1861.54,430,615,-1662
2756,160212,1835.28,-1903,4287,-3017
2757,160215,1862.2,-1241,2207,-1257
2758,160216,1888.3,-2307,837,813
2759,160217,1883.94,-1588,694,-220
2760,160218,1908.84,-3020,1368,858
2761,160219,1916.24,-1784,-684,1669
2762,160222,1916.36,-537,-473,335
2763,160223,1914.22,-156,-524,-67
2764,160224,1912.53,-327,-166,-200
2765,160225,1918.57,1008,-112,197
2766,160226,1920.16,-427,1634,2424
2767,160229,1916.66,-538,-1893,1719
2768,160302,1947.42,-4110,-154,3760
2769,160303,1958.17,-3148,-2354,4960
2770,160304,1955.63,-455,-1321,1598
2771,160307,1957.87,-536,-1988,2011
2772,160308,1946.12,1060,-613,-961
2773,160309,1952.95,-46,-260,-207
2774,160310,1969.33,-1219,-5820,6503
2775,160311,1971.41,-568,-1501,1475
2776,160314,1972.27,1352,-2450,819
2777,160315,1969.97,95,-1314,631
2778,160316,1974.9,-459,-908,976
2779,160317,1987.99,-2685,-1455,7364
2780,160318,1992.12,297,-3429,2783
2781,160321,1989.76,1035,-3130,1353
2782,160322,1996.81,-1151,-884,1360
2783,160323,1995.12,-436,-451,115
2784,160324,1985.97,592,-1732,455
2785,160325,1983.81,-707,409,-424
2786,160328,1982.54,-251,-320,-126
2787,160329,1994.91,-1845,-265,1474
2788,160330,2002.14,-1266,68,371
2789,160331,1995.85,821,575,-2100
2790,160401,1973.57,2851,-466,-2106
2791,160404,1978.97,615,-1931,574
2792,160405,1962.74,1944,-733,-1926
2793,160406,1971.32,1196,-2994,1172
2794,160407,1973.89,298,-3185,2259
2795,160408,1972.05,486,-2800,1651
2796,160411,1970.37,810,-1284,-156
2797,160412,1981.32,-885,-1028,1160
2798,160414,2015.93,-7912,1741,5503
2799,160415,2014.71,-1094,250,1028
2800,160418,2009.1,-482,-1392,1996
2801,160419,2011.36,-1526,1396,286
2802,160420,2005.83,-450,-586,1117
2803,160421,2022.1,-3020,1479,1598
2804,160422,2015.49,385,-1847,1551
2805,160425,2014.55,-414,-1598,2081
2806,160426,2019.63,-886,-443,1358
2807,160427,2015.4,776,-2579,1818
2808,160428,2000.93,883,1165,-2033
2809,160429,1994.15,1095,-2031,639
2810,160502,1978.15,1803,-1778,-317
2811,160503,1986.41,685,-1770,868
2812,160504,1976.71,2978,-4904,1719
2813,160509,1967.81,1192,-527,-991
2814,160510,1982.5,-1248,410,355
2815,160511,1980.1,1308,-2414,704
2816,160512,1977.49,1105,-1283,243
2817,160513,1966.99,2184,-1156,-1437
2818,160516,1967.91,-51,-397,151
2819,160517,1968.06,832,-521,-535
2820,160518,1956.73,1214,-1974,356
2821,160519,1946.78,310,-423,-205
2822,160520,1947.67,-617,1508,-1277
2823,160523,1955.25,-675,334,26
2824,160524,1937.68,789,-614,-598
2825,160525,1960.51,-3363,2076,1249
2826,160526,1957.06,-955,644,59
2827,160527,1969.17,-1760,-107,1514
2828,160530,1967.13,-350,-1246,1210
2829,160531,1983.4,-1607,2104,-1296
2830,160601,1982.72,-885,-1895,2401
2831,160602,1985.11,-618,-1977,3876
2832,160603,1985.84,-1141,3436,-1296
2833,160607,2011.63,-4358,1479,2604
2834,160608,2027.08,-3145,-384,3095
2835,160609,2024.17,-2281,-1958,4132
2836,160610,2017.63,-1141,895,-276
2837,160613,1979.06,1737,-738,-1480
2838,160614,1972.03,2269,-1806,-1058
2839,160615,1968.83,1681,-572,-211
2840,160616,1951.99,1164,-2096,443
2841,160617,1953.4,-72,569,-1022
2842,160620,1981.12,-1812,1161,188
2843,160621,1982.7,908,-304,-1120
2844,160622,1992.58,-2508,1729,283
2845,160623,1986.71,-2647,1891,276
2846,160624,1925.24,349,553,-1467
2847,160627,1926.85,-2164,4082,-2393
2848,160628,1936.22,1675,1542,-3686
2849,160629,1956.36,-224,-633,564
2850,160630,1970.35,382,-2486,4040
2851,160701,1987.32,-2053,-908,2517
2852,160704,1995.3,-665,-1454,1602
2853,160705,1989.85,1382,-2108,134
2854,160706,1953.12,5113,-1384,-4277
2855,160707,1974.08,-903,-1196,1693
2856,160708,1963.1,2047,-2898,407
2857,160711,1988.54,-3904,832,2698
2858,160712,1991.23,-1942,-484,1922
2859,160713,2005.55,-1874,-3803,5802
2860,160714,2008.77,-1367,-2281,3675
2861,160715,2017.26,-1882,-3066,4902
2862,160718,2021.11,-22,-2139,2238
2863,160719,2016.89,1178,-4255,3132
2864,160720,2015.46,320,-2214,1794
2865,160721,2012.22,334,-823,446
2866,160722,2010.34,-1201,423,720
2867,160725,2012.32,-810,-1077,1934
2868,160726,2027.34,-1733,168,1926
2869,160727,2025.05,-1379,-1035,2436
2870,160728,2021.1,-1101,-801,1961
2871,160729,2016.19,895,-3196,2115
2872,160801,2029.61,-1049,-2969,3074
2873,160802,2019.03,1062,-1806,528
2874,160803,1994.79,2538,-1962,-868
2875,160804,2000.03,472,-1090,376
2876,160805,2017.94,-1990,-728,2470
2877,160808,2031.12,-2024,860,797
2878,160809,2043.78,-3140,762,2072
2879,160810,2044.64,-1893,-1364,3077
2880,160811,2048.8,255,-337,-176
2881,160812,2050.47,-1793,995,578
2882,160816,2047.76,-363,-206,331
2883,160817,2043.75,438,-876,128
2884,160818,2055.47,-90,-1845,1886
2885,160819,2056.24,531,-3539,2186
2886,160822,2042.16,863,-1839,-131
2887,160823,2049.93,791,-2163,450
2888,160824,2043.76,-178,-390,-475
2889,160825,2042.92,-33,2531,-3207
2890,160826,2037.5,-614,1905,-3841
2891,160829,2032.35,-420,-394,830
2892,160830,2039.74,-1726,1276,503
2893,160831,2034.65,105,-90,204
2894,160901,2032.72,989,385,-1407
2895,160902,2038.31,-172,-1935,2162
2896,160905,2060.08,-3938,1387,2694
2897,160906,2066.53,421,-3089,2688
2898,160907,2061.88,-202,-464,814
2899,160908,2063.73,41,-1825,1800
2900,160909,2037.87,913,-483,-503
2901,160912,1991.48,884,1363,-2183
2902,160913,1999.36,2989,-6883,2476
2903,160919,2015.78,973,-2733,469
2904,160920,2025.71,1155,-3459,987
2905,160921,2035.99,131,-2269,878
2906,160922,2049.7,-1320,-1388,1266
2907,160923,2054.07,-2912,1944,-460
2908,160926,2047.11,-29,-1189,-176
2909,160927,2062.82,-2646,2547,225
2910,160928,2053.06,864,404,-1165
2911,160929,2068.72,-2133,252,1809
2912,160930,2043.63,3779,-2389,-1558
2913,161004,2054.86,-894,-901,1793
2914,161005,2053.0,992,-1102,-26
2915,161006,2065.3,475,-1473,919
2916,161007,2053.8,1964,-2369,385
2917,161010,2056.82,-3040,3235,-420
2918,161011,2031.93,-1542,4819,-3368
2919,161012,2033.73,-698,6243,-5544
2920,161013,2015.44,3754,-5702,1944
2921,161014,2022.66,-437,-10,328
2922,161017,2027.61,-486,-2437,2911
2923,161018,2040.43,-2844,864,1875
2924,161019,2040.94,-164,-2102,2276
2925,161020,2040.6,-1227,173,1070
2926,161021,2033.0,-670,111,440
2927,161024,2047.74,-2555,1586,903
2928,161025,2037.17,-1878,2424,-678
2929,161026,2013.89,575,299,-857
2930,161027,2024.12,-37,-240,277
2931,161028,2019.42,570,-139,-339
2932,161031,2008.19,-1441,1310,97
2933,161101,2007.39,-912,659,140
2934,161102,1978.94,-1301,1478,-224
2935,161103,1983.8,-1355,3398,-2055
2936,161104,1982.02,-110,1925,-1915
2937,161107,1997.58,-860,2914,-2191
2938,161108,2003.38,187,126,-570
2939,161109,1958.38,-1269,3095,-2132
2940,161110,2002.6,-3101,2295,482
2941,161111,1984.43,897,3782,-4495
2942,161114,1974.4,307,2781,-3371
2943,161115,1967.53,718,1092,-2083
2944,161116,1979.65,-710,657,-98
2945,161117,1980.55,71,-907,605
2946,161118,1974.58,2350,-3310,610
2947,161121,1966.05,-393,-490,670
2948,161122,1983.47,-1403,517,3397
2949,161123,1987.95,-2163,4066,1641
2950,161124,1971.26,138,1043,-1426
2951,161125,1974.46,-363,-39,185
2952,161128,1978.13,-196,-2046,2066
2953,161129,1978.39,-83,-1493,4494
2954,161130,1983.48,446,-3176,2714
2955,161201,1983.75,209,-527,310
2956,161202,1970.61,230,-476,-20
2957,161205,1963.36,-1144,1013,-49
2958,161206,1989.86,-3605,2929,791
2959,161207,1991.89,141,-908,783
2960,161208,2031.07,-6546,6551,283
2961,161209,2024.69,-1177,584,559
2962,161212,2027.24,-964,148,847
2963,161213,2035.98,-1025,-147,1120
2964,161214,2036.87,132,-1890,1769
2965,161215,2036.65,-676,660,-34
2966,161216,2042.24,254,-1621,678
2967,161219,2038.39,788,-795,49
2968,161220,2041.94,-335,-291,601
2969,161221,2037.96,-82,-691,775
2970,161222,2035.73,-297,759,-539
2971,161223,2035.9,-1255,2283,-977
2972,161226,2037.75,-878,1253,-353
2973,161227,2042.17,-2588,1736,923
2974,161228,2024.49,2810,-4148,1306
2975,161229,2026.46,1562,-2968,1284
2976,170102,2026.16,386,-847,275
2977,170103,2043.97,-112,-1750,1717
2978,170104,2045.64,1272,-3583,2147
2979,170105,2041.95,655,-1648,868
2980,170106,2049.12,-288,-1365,1686
2981,170109,2048.78,1934,-4574,2510
2982,170110,2045.12,1286,-2498,996
2983,170111,2075.17,-4300,-551,4838
2984,170112,2087.14,-321,-104,342
2985,170113,2076.79,-585,1635,-1066
2986,170116,2064.17,400,1847,-2393
2987,170117,2071.87,-830,903,-81
2988,170118,2070.54,-723,874,-194
2989,170119,2072.79,1288,-2829,1471
2990,170120,2065.61,67,380,-465
2991,170123,2065.99,-118,-1093,1170
2992,170124,2065.76,-125,92,-132
2993,170125,2066.94,1093,-3757,2084
2994,170126,2083.59,-2148,-1960,3640
2995,170131,2067.57,1323,1182,-3018
2996,170201,2080.48,-871,551,-123
2997,170202,2071.01,612,-1785,707
2998,170203,2073.16,1109,-597,-1087
2999,170206,2077.66,-1136,639,24
3000,170207,2075.21,-320,1437,-1586
3001,170208,2065.08,931,1044,-2425
3002,170209,2065.88,221,-1278,624
3003,170210,2075.08,-2473,3136,-1074
3004,170213,2078.65,-2787,2307,54
3005,170214,2074.57,-1367,2653,-1223
3006,170215,2083.86,-1751,1591,-296
3007,170216,2081.84,426,-2654,1649
3008,170217,2080.58,-4841,1485,2894
3009,170220,2084.39,1032,-2097,538
3010,170221,2102.93,-3185,1539,1243
3011,170222,2106.61,-936,-1987,4535
3012,170223,2107.63,-274,-588,352
3013,170224,2094.12,78,-518,-52
3014,170227,2085.52,-326,2174,-2262
3015,170228,2091.64,-1164,-273,645
3016,170302,2102.65,-1071,-6206,6802
3017,170303,2078.75,1065,-1253,-324
3018,170306,2081.36,-487,-2637,2562
3019,170307,2094.05,-2461,1000,924
3020,170308,2095.41,-174,-1966,1536
3021,170309,2091.06,1105,-6175,4434
3022,170310,2097.35,553,-2781,1589
3023,170313,2117.59,-2824,-2161,4542
3024,170314,2133.78,-501,-4065,4060
3025,170315,2133.0,847,-2688,1292
3026,170316,2150.08,-2374,-893,2776
3027,170317,2164.58,-935,-2104,2504
3028,170320,2157.01,850,-517,-844
3029,170321,2178.38,-2348,-1899,3613
3030,170322,2168.3,1813,-1169,-957
3031,170323,2172.72,-1284,182,539
3032,170324,2168.95,-1868,2207,-905
3033,170327,2155.66,167,-1047,364
3034,170328,2163.31,19,-818,216
3035,170329,2166.98,368,-264,-618
3036,170330,2164.64,656,-1692,902
3037,170331,2160.23,-1110,329,265
3038,170403,2167.51,-593,312,-233
3039,170404,2161.1,1794,-1235,-1029
3040,170405,2160.85,1280,-1672,-74
3041,170406,2152.75,1683,-1179,-933
3042,170407,2151.73,104,1031,-791
3043,170410,2133.32,64,-45,-541
3044,170411,2123.85,314,978,-1276
3045,170412,2128.91,248,-1048,741
3046,170413,2148.61,-1138,1042,-19
3047,170414,2134.88,444,228,-755
3048,170417,2145.76,-1610,2666,-1146
3049,170418,2148.46,-482,385,98
3050,170419,2138.4,1159,1104,-2262
3051,170420,2149.15,-2761,2236,739
3052,170421,2165.04,-3165,899,2342
3053,170424,2173.74,-2495,-724,3355
3054,170425,2196.85,-3678,-2810,6486
3055,170426,2207.84,-3680,768,2935
3056,170427,2209.46,1549,-1587,116
3057,170428,2205.44,3399,-3548,-162
3058,170502,2219.67,-1297,-474,1333
3059,170504,2241.24,-709,-3334,3612
3060,170508,2292.76,-6632,855,5394
3061,170510,2270.12,-1005,-462,1117
3062,170511,2296.37,-4441,3318,1017
3063,170512,2286.02,3635,-939,-3038
3064,170515,2290.65,350,252,-971
3065,170516,2295.33,234,730,2345
3066,170517,2293.08,1617,-2189,79
3067,170518,2286.82,-191,-638,259
3068,170519,2288.48,-651,-276,401
3069,170522,2304.03,-885,-2602,2882
3070,170523,2311.74,-2616,2812,-541
3071,170524,2317.34,-365,-894,775
3072,170525,2342.93,-4053,2656,1184
3073,170526,2355.3,-2587,851,1208
3074,170529,2352.97,515,-1069,240
3075,170530,2343.68,135,-29,-456
3076,170531,2347.38,-369,3609,-3623
3077,170601,2344.61,751,-893,-103
3078,170602,2371.72,-2407,-2510,4475
3079,170605,2368.62,43,-3278,2740
3080,170607,2360.14,1265,-2967,1149
3081,170608,2363.57,979,-4536,2835
3082,170609,2381.69,-1763,-370,1525
3083,170612,2357.87,4988,-4078,-1445
3084,170613,2374.7,-1219,1625,-782
3085,170614,2372.64,529,-1221,236
3086,170615,2361.65,2587,-3060,123
3087,170616,2361.83,550,582,-1629
3088,170619,2370.9,-1019,-545,1235
3089,170620,2369.23,3582,-5985,4887
3090,170621,2357.53,2943,-1859,-1826
3091,170622,2370.37,758,473,1831
3092,170623,2378.6,-2994,1061,1664
3093,170626,2388.66,220,-1225,441
3094,170627,2391.95,2221,-3260,541
3095,170628,2382.56,1335,-63,-1810
3096,170629,2395.66,-1667,201,999
3097,170630,2391.79,1086,-1200,-385
3098,170703,2394.48,-843,-845,1076
3099,170704,2380.52,447,1041,-1936
3100,170705,2388.35,540,-816,-61
3101,170706,2387.81,1291,-3999,2190
3102,170707,2379.87,636,549,2766
3103,170710,2382.1,-462,772,-580
3104,170711,2396.0,-1237,-204,982
3105,170712,2391.77,1804,-2520,3839
3106,170713,2409.49,-2064,-1861,3403
3107,170714,2414.63,-534,242,1989
3108,170717,2425.1,-1130,1117,-428
3109,170718,2426.04,610,1220,-2175
3110,170719,2429.94,-773,1290,-978
3111,170720,2441.84,-1451,484,582
3112,170721,2450.06,-2170,-611,2884
3113,170724,2451.53,210,1441,-1683
3114,170725,2439.9,635,2657,-3411
3115,170726,2434.51,-1007,4599,-3551
3116,170727,2443.24,-1365,3589,-2083
3117,170728,2400.99,789,4822,-5599
3118,170731,2402.71,-2606,4861,-2551
3119,170801,2422.96,-1750,1798,-362
3120,170802,2427.63,73,-1704,1356
3121,170803,2386.85,3576,102,-4027
3122,170804,2395.45,-947,2148,-1637
3123,170807,2398.75,-402,-942,933
3124,170808,2394.73,431,-1500,917
3125,170809,2368.39,-867,3052,-2563
3126,170810,2359.47,-1702,4279,-2258
3127,170811,2319.71,-702,6225,-5862
3128,170814,2334.22,-1204,3586,-2582
3129,170816,2348.26,1572,-670,-1038
3130,170817,2361.67,407,-2306,1744
3131,170818,2358.37,539,-891,62
3132,170821,2355.0,508,-779,-212
3133,170822,2365.33,-1688,885,659
3134,170823,2366.4,742,-2016,1091
3135,170824,2375.84,-1720,1208,172
3136,170825,2378.51,-1668,1683,-259
3137,170828,2370.3,-923,1196,-599
3138,170829,2364.74,2089,472,-2640
3139,170830,2372.29,-1277,1848,-676
3140,170831,2363.19,1277,-548,-1100
3141,170901,2357.69,1040,-2178,763
3142,170904,2329.65,-3434,3165,43
3143,170905,2326.62,-660,2429,-2133
3144,170906,2319.82,1073,1755,-3253
3145,170907,2346.19,-2246,1251,724
3146,170908,2343.72,455,-834,139
3147,170911,2359.08,-2332,3638,-1506
3148,170912,2365.47,-52,1462,-1859
3149,170913,2360.18,-606,416,-58
3150,170914,2377.66,1922,455,-231
3151,170915,2386.07,108,674,-881
3152,170918,2418.21,-1615,-819,2196
3153,170919,2416.05,1497,-512,-1434
3154,170920,2412.2,858,576,-1881
3155,170921,2406.5,1807,-2009,971
3156,170922,2388.71,451,-1144,254
3157,170925,2380.4,225,-408,-335
3158,170926,2374.32,-1578,5065,-3852
3159,170927,2372.57,1658,407,-2808
3160,170928,2373.14,1189,-495,-1291
3161,170929,2394.47,-1566,688,310
3162,171010,2433.81,-3104,-5619,8177
3163,171011,2458.16,538,-5339,7007
3164,171012,2474.76,-548,-2212,2440
3165,171013,2473.62,-1135,1094,-358
3166,171016,2480.05,-717,493,-274
3167,171017,2484.37,1458,-1497,-515
3168,171018,2482.91,-62,-469,-320
3169,171019,2473.06,-23,-152,26
3170,171020,2489.54,-407,-1751,1615
3171,171023,2490.05,2042,-6174,3156
3172,171024,2490.49,684,270,-1014
3173,171025,2492.5,571,-1661,1119
3174,171026,2480.63,-363,626,-266
3175,171027,2496.63,-130,-958,965
3176,171030,2501.93,2620,-5217,2517
3177,171031,2523.43,-249,-3958,4191
3178,171101,2556.47,-2305,-1144,3032
3179,171102,2546.36,1546,-1952,-12
3180,171103,2557.97,-1683,2724,-1476
3181,171106,2549.41,1810,-3681,1456
3182,171107,2545.44,-740,-707,2444
3183,171108,2552.4,617,-706,540
3184,171109,2550.57,2090,-1853,-670
3185,171110,2542.95,1432,169,-1889
3186,171113,2530.35,2579,-2267,-642
3187,171114,2526.64,-1290,1834,-969
3188,171115,2518.25,-369,810,-647
3189,171116,2534.79,-798,-2089,2862
3190,171117,2533.99,-1419,-4401,5489
3191,171120,2527.67,899,-3395,2151
3192,171121,2530.7,-5085,983,3916
3193,171122,2540.51,-819,232,397
3194,171123,2537.15,-24,419,-757
3195,171124,2544.33,-1059,1773,-1105
3196,171127,2507.81,4534,-470,-4536
3197,171128,2514.19,-3766,2037,-1639
3198,171129,2512.9,-806,2025,-1621
3199,171130,2476.37,1933,3705,-6000
3200,171201,2475.41,1405,898,-1939
3201,171204,2501.67,-2582,882,1472
3202,171205,2510.12,-3475,2932,318
3203,171206,2474.37,2515,371,-3383
3204,171207,2461.98,-448,4915,-3384
3205,171208,2464.0,388,401,-1042
3206,171211,2471.49,-916,2306,-1660
3207,171212,2461.0,1475,623,-2445
3208,171213,2480.55,-5119,6948,-2055
3209,171214,2469.48,-3781,-148,3850
3210,171215,2482.07,-2570,4217,-2021
3211,171218,2481.88,-1294,2653,-1676
3212,171219,2478.53,-3572,2846,639
3213,171220,2472.37,-3681,6175,-3075
3214,171221,2429.83,-84,3112,-3275
3215,171222,2440.54,-8491,3882,1313
3216,171226,2427.34,-8944,8725,158
3217,171227,2436.67,4659,-3753,-1093
3218,171228,2467.49,-2129,307,1798
3219,180102,2479.65,-267,-2762,2634
3220,180103,2486.35,-242,-3980,3992
3221,180104,2466.46,442,-3845,3359
3222,180105,2497.52,-3705,1022,2457
3223,180108,2513.28,-3512,-873,3908
3224,180109,2510.23,-2606,2122,438
3225,180110,2499.75,1302,993,-2789
3226,180111,2487.91,3170,-5447,1756
3227,180112,2496.42,-871,1644,-1176
3228,180115,2503.73,-698,145,244
3229,180116,2521.74,-2777,-249,2768
3230,180117,2515.43,1733,-2883,680
3231,180118,2515.81,915,-2234,949
3232,180119,2520.26,-91,414,-814
3233,180122,2502.11,2471,-735,-1762
3234,180123,2536.6,-5925,3405,2160
3235,180124,2538.0,-2813,2443,-160
3236,180125,2562.23,-7154,2999,3754
3237,180126,2574.76,-3853,1168,1808
3238,180129,2598.19,-7116,3614,3226
3239,180130,2567.74,2534,-1433,-1223
3240,180131,2566.46,7941,-1844,-6642
3241,180201,2568.54,2170,293,-2722
3242,180202,2525.39,7374,-2810,-4640
3243,180205,2491.75,4955,-419,-4554
3244,180206,2453.31,1565,1079,-2810
3245,180207,2396.56,9264,-7395,-1914
3246,180208,2407.62,2437,-3483,908
3247,180209,2363.77,2761,203,-3152
3248,180212,2385.38,971,-175,-790
3249,180213,2395.19,-1661,-1859,3297
3250,180214,2421.83,-2054,1110,1035
3251,180219,2442.82,-730,346,263
3252,180220,2415.12,2550,-2978,290
3253,180221,2429.65,74,1144,-1016
3254,180222,2414.28,1996,-1074,-977
3255,180223,2451.52,-5230,3767,1556
3256,180226,2457.65,-1373,3518,-1824
3257,180227,2456.14,-1895,2045,44
3258,180228,2427.36,1075,-2646,1437
3259,180302,2402.16,5344,-2732,-2327
3260,180305,2375.06,3204,-2135,-889
3261,180306,2411.41,-1713,1608,131
3262,180307,2401.82,3585,-1036,-2595
3263,180308,2433.08,-4264,5949,-1742
3264,180309,2459.45,-4900,2916,1989
3265,180312,2484.12,-2917,1009,1938
3266,180313,2494.49,-3103,-2650,5818
3267,180314,2486.08,2841,-1429,-1295
3268,180315,2492.38,194,296,-421
3269,180316,2493.97,12,-596,1638
3270,180319,2475.03,1483,-531,-833
3271,180320,2485.52,63,1047,-1235
3272,180321,2484.97,-637,1300,-657
3273,180322,2496.02,-2987,821,2081
3274,180323,2416.76,7518,-6438,-1317
3275,180326,2437.08,520,465,-1010
3276,180327,2452.06,-898,762,144
3277,180328,2419.29,2766,-331,-2464
3278,180329,2436.37,5778,339,-2704
3279,180330,2445.85,-1153,2966,-1717
3280,180402,2444.16,738,-216,-269
3281,180403,2442.43,1289,-165,-1064
3282,180404,2408.06,5286,-3490,-1989
3283,180405,2437.52,-2736,1203,1475
3284,180406,2429.58,2289,194,-2392
3285,180409,2444.08,-558,1140,-565
3286,180410,2450.74,327,1108,-1207
3287,180411,2444.22,1981,-980,4640
3288,180412,2442.71,-731,-1518,2346
3289,180413,2455.07,-36,-470,543
3290,180416,2457.49,658,-108,-366
3291,180417,2453.77,2220,487,-2760
3292,180418,2479.98,-3882,525,3439
3293,180419,2486.1,646,-2406,1814
3294,180420,2476.33,3422,1612,-4884
3295,180423,2474.11,3143,92,-2946
3296,180424,2464.14,2707,1684,-4388
3297,180425,2448.81,6137,70,-7620
3298,180426,2475.64,14,-1654,1710
3299,180427,2492.4,2576,-4116,1611
3300,180430,2515.38,-1892,-112,2432
3301,180502,2505.61,2791,-1203,-1632
3302,180503,2487.25,2597,188,-3239
3303,180504,2461.38,7640,-7256,-224
3304,180508,2449.81,1015,-1252,-334
3305,180509,2443.98,-414,2409,-2303
3306,180510,2464.16,-730,806,-409
3307,180511,2477.71,-4180,1856,1990
3308,180514,2476.11,-1011,1692,-947
3309,180515,2458.54,3949,-1969,-2382
3310,180516,2459.82,-1750,2486,112
3311,180517,2448.45,1455,1057,-2696
3312,180518,2460.65,-1541,1513,-387
3313,180521,2465.57,69,332,-761
3314,180523,2471.91,-712,-2622,2738
3315,180524,2466.01,851,-2057,328
3316,180525,2460.8,-4810,1206,3310
3317,180528,2478.96,2649,-1385,-1618
3318,180529,2457.25,3115,-1205,-2294
3319,180530,2409.03,10151,-4069,-6857
3320,180531,2423.01,2412,-12383,9507
3321,180601,2438.96,-1315,-1234,2389
3322,180604,2447.76,-912,548,177
3323,180605,2453.76,920,-950,-86
3324,180607,2470.58,-3160,1722,1379
3325,180608,2451.58,5015,-6616,1304
3326,180611,2470.15,-2575,2816,-106
3327,180612,2468.83,-93,1258,-1223
3328,180614,2423.48,5021,-537,-4703
3329,180615,2404.04,2670,2759,-5500
3330,180618,2376.24,-1124,4293,-3206
3331,180619,2340.11,1406,318,-2151
3332,180620,2363.91,-1179,-175,1136
3333,180621,2337.83,4107,-3037,-1282
3334,180622,2357.22,-88,-247,60
3335,180625,2357.88,87,1002,-1100
3336,180626,2350.92,1169,2678,-3237
3337,180627,2342.03,802,-2660,1587
3338,180628,2314.24,1130,1408,-2889
3339,180629,2326.13,-553,-1398,1652
3340,180702,2271.54,2427,-4010,1156
3341,180703,2272.76,-467,-1795,2018
3342,180704,2265.46,1292,-1536,10
3343,180705,2257.55,319,455,-947
3344,180706,2272.87,-1030,4589,-3820
3345,180709,2285.8,-752,1222,-594
3346,180710,2294.16,193,-1158,329
3347,180711,2280.62,1351,-1251,2018
3348,180712,2285.06,880,-858,-180
3349,180713,2310.9,-1374,-941,2239
3350,180716,2301.99,2883,-2657,-452
3351,180717,2297.92,1342,522,-888
3352,180718,2290.11,1637,-2639,925
3353,180719,2282.29,-321,-188,525
3354,180720,2289.19,526,650,-1212
3355,180723,2269.31,-1418,2330,-325
3356,180724,2280.2,-3043,2397,631
3357,180725,2273.03,-1283,2784,-1486
3358,180726,2289.06,-1706,404,1276
3359,180727,2294.99,-845,-799,1626
3360,180730,2293.51,32,-2002,1622
3361,180731,2295.26,-317,798,-749
3362,180801,2307.07,-651,-1416,1725
3363,180802,2270.2,3740,-3751,-490
3364,180803,2287.68,-886,-804,1433
3365,180806,2286.5,179,-671,41
3366,180807,2300.16,-62,-1097,577
3367,180808,2301.45,-1248,-1157,3585
3368,180809,2303.71,140,1427,-2243
3369,180810,2282.79,1519,-857,-1147
3370,180813,2248.45,1029,151,-1738
3371,180814,2258.91,-1321,918,-121
3372,180816,2240.8,1783,-70,-2417
3373,180817,2247.05,859,-2534,1020
3374,180820,2247.88,-98,87,-549
3375,180821,2270.06,-1512,-171,1064
3376,180822,2273.33,1368,-4206,2082
3377,180823,2282.6,-448,-1932,1751
3378,180824,2293.21,-1995,582,770
3379,180827,2299.3,-2427,-432,2373
3380,180828,2303.12,-1647,-449,1426
3381,180829,2309.03,-2217,4282,1146
3382,180830,2307.35,660,-3215,2223
3383,180831,2322.88,-1687,-2643,3967
3384,180903,2307.03,2376,-727,-2173
3385,180904,2315.72,-340,-133,219
3386,180905,2291.77,2473,-1967,-971
3387,180906,2287.61,1148,1134,-2933
3388,180907,2281.58,2196,5057,-7719
3389,180910,2288.66,-412,-1239,1211
3390,180911,2283.2,1923,-430,-1891
3391,180912,2282.92,1840,1988,-4152
3392,180913,2286.23,388,1987,-2690
3393,180914,2318.25,-4833,2713,2036
3394,180917,2303.01,690,-2741,1755
3395,180918,2308.98,-475,996,-828
3396,180919,2308.46,-1095,137,3865
3397,180920,2323.45,-4134,998,2929
3398,180921,2339.17,-2021,-772,8233
3399,180927,2355.43,-1362,-1298,2283
3400,180928,2343.07,1305,648,-2249
3401,181001,2338.88,1242,-877,-541
3402,181002,2309.57,3089,-849,-2411
3403,181004,2274.49,5811,-602,-5294
3404,181005,2267.52,2024,1116,-3307
3405,181008,2253.83,1330,318,-1782
3406,181010,2228.61,1008,1156,-2297
3407,181011,2129.67,2165,2439,-4836
3408,181012,2161.85,-1006,-59,735
3409,181015,2145.12,2990,-3271,224
